Product Name,Price,Description,Reviews
"MOTOROLA edge 70 pro (Satin-Luxe PANTONE Tea (Green), 256 GB)","₹42,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Super AMOLED Display50MP + 50MP | 50MP Front Camera6500 mAh Silicon-Carbon BatteryDimensity 8500 Extreme Processor1 Year on Handset and 6 Months on Accessories,4.5
"Nothing Phone (4a) (White, 256 GB)","₹40,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 50MP + 8MP | 32MP Front Camera5400 mAh Lithium ion BatterySnapdragon 7s Gen 4 Processor1 Year Manufacturing Warranty,4.4
"Samsung Galaxy S24 FE 5G (Blue, 256 GB)","₹45,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 8MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5
"Nothing Phone (4a) (Blue, 256 GB)","₹40,999",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 50MP + 8MP | 32MP Front Camera5400 mAh Lithium ion BatterySnapdragon 7s Gen 4 Processor1 Year Manufacturing Warranty,4.4
"Samsung Galaxy S24 FE 5G (Blue, 256 GB)","₹45,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 8MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4
"Nothing Phone (4a) (Blue, 256 GB)","₹40,999",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 50MP + 8MP | 32MP Front Camera5400 mAh Lithium ion BatterySnapdragon 7s Gen 4 Processor1 Year Manufacturing Warranty,4.4
"realme P4R 5G (Silver Glare, 128 GB)","₹18,999",4 GB RAM | 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP Rear Camera | 8MP Front Camera8000 mAh BLPE45 lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
"OPPO Reno13 5G (Ivory White, 256 GB)","₹40,999",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 2MP | 50MP Front Camera5600 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.5
"MOTOROLA Razr 60 (PANTONE Spring Bud, 256 GB)","₹49,999",8 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera4500 mAh BatteryDimensity 7400X Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.5
"Google Pixel 10a (Berry, 256 GB)","₹49,999",8 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Full HD+ AMOLED Display48MP + 13MP | 13MP Front Camera5100 mAh Lithium BatteryTensor G4 Processor1 year domestic warranty,4.6
"OPPO Reno14 5G (Forest Green, 256 GB)","₹42,999",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
"Ai+ NovaFlip 5G (Glacier White, 256 GB)","₹49,999",8 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Full HD+ AMOLED Display50MP + 2MP | 32MP Front Camera4325 mAh Battery1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,4.3
"Samsung Galaxy S25 FE 5G (White, 128 GB)","₹46,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 8MP | 12MP Front Camera4900 mAh Li-ion BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5
"Google Pixel 10a (Lavender, 256 GB)","₹49,999",8 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Full HD+ AMOLED Display48MP + 13MP | 13MP Front Camera5100 mAh Lithium BatteryTensor G4 Processor1 year domestic warranty,4.5
"Samsung Galaxy A36 5G (Awesome White, 256 GB)","₹32,998",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 12MP Front Camera5000 mAh BatteryQualcomm Snapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5
"Samsung Galaxy S24 FE 5G (Graphite, 256 GB)","₹45,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 8MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2
"Nothing Phone (4a) Pro (Silver, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM17.35 cm (6.83 inch) Full HD+ AMOLED Display50MP + 50MP + 8MP | 32MP Front Camera5400 mAh Lithium ion BatterySnapdragon 7 Gen 4 Processor1 Year Manufacturing Warranty,4.4
"POCO X8 Pro Max (Blue, 512 GB)","₹48,999",12 GB RAM | 512 GB ROM17.35 cm (6.83 inch) Full HD+ AMOLED Display50MP + 8MP | 20MP Front Camera9000 mAh Lithium-Ion Polymer With Silicon Carbon Technology BatteryDimensity 9500s Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
"Samsung Galaxy Z Flip3 5G (Cream, 128 GB)","₹95,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display12MP + 12MP | 10MP Front Camera3300 mAh Lithium-ion BatteryQualcomm Snapdragon 888 Octa-Core Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-Box Accessories,4
"Samsung Galaxy A56 5G (Awesome Graphite, 256 GB)","₹46,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsung Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4
"MOTOROLA Edge 70 Pro+ (Twill Inspired PANTONE Stormy sea (Green), 256 GB)","₹47,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Super AMOLED Display50MP + 50MP + 50MP | 50MP Front Camera6500 mAh Silicon-Carbon BatteryDimensity 8500 Extreme Processor1 Year on Handset and 6 Months on Accessories,3.3
"Samsung Galaxy A36 5G (Awesome Lavender, 256 GB)","₹32,995",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 12MP Front Camera5000 mAh BatteryQualcomm Snapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
"Xiaomi 12 Pro 5G (Noir Black, 256 GB)","₹49,990",8 GB RAM | 256 GB ROM17.09 cm (6.73 inch) Full HD+ Display50MP + 50MP + 50MP | 32MP Front Camera4600 mAh Lithium Polymer BatterySnapdragon 8 Gen 1 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.5
"Samsung Galaxy A36 5G (Awesome Black, 256 GB)","₹35,990",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 12MP Front Camera5000 mAh BatteryQualcomm Snapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5
"OnePlus 8 Pro (Ultramarine Blue, 256 GB)","₹43,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display48MP + 48MP + 8MP + 5MP | 16MP Front Camera4510 mAh BatteryQualcomm Snapdragon 865 Processor1 Year1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories,4.6
